Keys,Comment,English,Japanese,Spanish,German,French,Polish,GlasgowScottish
,UNLOCK UPPER MINES,,,,,,,
lock_map_will_faradaydo,,Will Faradaydo and his brave team make it out</br>of the mines in one piece? Play on to find out!,,,,,,
lock_map_buy_now,,Buy Now!,,,,,,
lock_map_earn,,Earn enough stars to</br>unlock for free,,,,,,
lock_map_unclok,,Unlock,,,,,,
lock_map_unclok_map,,Unlock map - Upper Mines,,,,,,
,INTRO,,,,,,,
intro_welcome,,Welcome to Sugra; a world full of living toys!,,,,,,
intro_far_below,,Far below the surface...,,,,,,
intro_almost,,Almost Finished!,,,,,,
intro_there_it_is,,There it is; a brand new</br>rechargable battery!</br>I need more than one to save</br>all the toys though...,,,,,,
intro_i_am_off,,I am off to the mines Madra;</br>to find some more parts!</br>You stay here and keep</br>an eye on Cora. Good boy!,,,,,,
intro_where_those,,Where have those toys got to...?,,,,,,
intro_madra,,Madra; Faradaydo?,,,,,,
intro_where_are_you,,Where are you?!,,,,,,
intro_skip,,Skip,,,,,,
,Train,,,,,,,
train_sign_speed,,Speed-o-meter,,,,,,
train_sign_track,,Track-o-meter,,,,,,
train_failed,,The train was too slow!,,,,,,
train_success,,The train made it!,,,,,,
train_failed_faradaydo_no_power,,Faradaydo is out of power! ,,,,,,
train_failed_cora_no_power,,Cora is out of power!,,,,,,
train_failed_jose_no_power,,Jose is out of power!,,,,,,
train_stars_power,,Power,,,,,,
train_stars_time,,Time,,,,,,
,Android Exclusive,,,,,,,
android_batteries,,Batteries,,,,,,
android_time_to_next_battery,,Time to next battery:,,,,,,
android_get_more_batteries,,Get More</br>Batteries,,,,,,
android_3_extra_batteries,,3 extra batteries so you can do</br>more rescue missions right now!,,,,,,
android_extra_batteries,,Extra Batteries,,,,,,
android_purchase_time_out,,Failed to contact store,,,,,,
android_purchase_in_progress,,Purchase in progress...,,,,,,
android_2_extra_moves,,2 extra moves to help you clear</br>the rescue mission!,,,,,,
android_extra_moves,,Extra Moves,,,,,,
android_out_of_moves,,Out of moves!,,,,,,
android_play_on,,Play On,,,,,,
android_end_mission,,End Mission,,,,,,
android_rescue_toy,,- Rescue the Toy,,,,,,
android_connect_power,,- Connect the power,,,,,,
android_purchase_successful,,Purchase successful!,,,,,,
android_purchase_cancelled,,Purchase cancelled! No Money was removed from your account. ,,,,,,
android_retry_level,,Retry this level?,,,,,,
android_costs_1_battery,,Costs 1 x Battery,,,,,,
android_you_need_battery,,You need 1 x battery to retry this level,,,,,,
android_moves,,moves,,,,,,
android_secs,,time,,,,,,
android_new_levels_comming_soon,,New Levels</br>Coming Soon!,,,,,,
android_return_to_map,,Return to Map?,,,,,,
android_do_you_really,,Do you really want to</br>end this rescue mission?,,,,,,
android_battery_required,,Battery Required!,,,,,,
android_you_need_battery_to_start,,You need 1 battery to start the level!,,,,,,
,Loading Screen Tips,,,,,,,
loading_tip_after_intro001,,Help Cora find Faradaydo and Madra!,,,,,,
loading_tip_rescue_001,,Use the least amount of moves for each character to earn stars!  ,,,,,,
loading_tip_rescue_002,,It costs one move each time Faradaydo builds a power connector. ,,,,,,
loading_tip_rescue_003,,Sometimes the longest route uses the least moves! ,,,,,,
loading_tip_rescue_004,,The tentacles are an evil alien growth which drains power from the toys! ,,,,,,
loading_tip_rescue_005,,The miner toys used to mine for fresh batteries every day; until they mysteriously ran out! ,,,,,,
loading_tip_rescue_006,,Many toys on Sugra need their batteries replaced! Can you find them all? ,,,,,,
loading_tip_rescue_007,,Faradaydo's invention; the rechargable battery; is made from parts of the tentacles! ,,,,,,
loading_tip_rescue_008,,Each toy has their own special powers and actions! ,,,,,,
loading_tip_mining_001,,Try to escape with as many materials as possible! ,,,,,,
loading_tip_mining_002,,Keep an eye on all your toys for random attacks!  ,,,,,,
loading_tip_mining_003,,Try to destroy all the rocks with materials in them! ,,,,,,
loading_tip_laboratory_001,,Faradaydo built the laboratory and all the machines! ,,,,,,
loading_tip_laboratory_002,,Destroy Techno-Eggs in the mines to get vines to build batteries! ,,,,,,
loading_tip_laboratory_003,,The tentacles are part of an alien growth from outer space! ,,,,,,
loading_tip_general_001,,Sugra is a giant ringworld; floating in space. It is the home of the living toys!,,,,,,
loading_tip_train_001,,Keep the train at top speed to make it across the jump at the end of the track! ,,,,,,
loading_tip_train_002,,Swipe Cora to attack the Bats and stop them attacking the team! ,,,,,,
loading_tip_train_003,,Swipe through tentacles attached to the train and Madra will attack them! ,,,,,,
,Characters popups,,,,,,,
character_out_of_moves,,This toy is out of moves! </br>Maybe you need to retry the level? ,,,,,,
,Storage Containers Info,,,,,,,
metal_container_info_text,,Metal is used to build machines. Go on mining missions to gather Metal.,,,,,,
plastic_container_info_text,,Plastic blocks are used to build machines. Go on mining missions to gather Plastic Blocks.,,,,,,
vines_container_info_text,,Baby Techno - Vines are used to build machines. Go on mining missions to gather them! ,,,,,,
rechargerocores_container_info_text,,This is the battery storage device. Use the Make-O-Matic to build more batteries.,,,,,,
redirectors_container_info_text,,This is the Power Connector Storage device. Use the Make-O-Matic to build more Power Connectors. ,,,,,,
toylazarus_object_info_text,,This machine is used to insert new rechargable batteries to any toy rescued by the team.  ,,,,,,
,Location Info,,,,,,,
location_description_corepit_1,,The Core Pit is where the toys throw their empty Duracellium Cores. They also banish troublesome toys down here.,,,,,,
location_description_laboratory_1,,Faradaydo’s Laboratory is in the Core Pit. He has been inventing machines here since the other toys banished him; over 500 years ago.,,,,,,
location_description_duracelliummines_1,,The Duracellium Mines are below the surface of Sugru. They contain rocks embedded with Duracellium Cores. How they got there is a mystery to all the toys. ,,,,,,
,,,,,,,,
,Character Info,,,,,,,
character_description_miner_1,,The miner is excellent at demolishing things; and can carry more materials. They will speed up your mining Missions.,,,,,,
,No Google Account Popup,,,,,,,
ui_noaccount_nogoogleaccount,,Oops! No Store Connection! ,,,,,,
ui_noaccount_pleasebesure,,Please check your puchase account and internet connection,,,,,,
,No Internet Connection Popup,,,,,,,
ui_intenetconnection_nointernet,,No Internet Connection,,,,,,
ui_intenetconnection_interentisrequired,,Internet Connection is required to make this transaction.,,,,,,
ui_intenetconnection_check,,Check your device settings.,,,,,,
,UI,,,,,,,
ui_button_gomining,,Go Mining!,,,,,,
ui_less_than_moves_01,,moves or less,,,,,,
ui_less_than_seconds_02,,or less,,,,,,
ui_less_than_moves_03,,move or less,,,,,,
ui_keep_full_power,,Don't lose power,,,,,,
ui_sign_use_only_3_moves,,Use only 3 moves,,,,,,
ui_sign_rescue1_message,,You rescued Madra!,,,,,,
ui_sign_rescue2_message,,You rescued a Miner!,,,,,,
ui_button_startmission,,Start Mission,,,,,,
ui_button_pullout,,Pull Out,,,,,,
ui_button_pathblocked,,No Clear Path!,,,,,,
ui_button_play,,Play,,Juego,,,,
ui_button_laboratory,,Laboratory,,,,,,
ui_button_rescue,,Rescue,,,,,,
ui_button_return_to_lab,,Return</br>To Lab,,,,,,
ui_button_factory,,FACTORY,Clipucha,,,,,
ui_button_mission_room,,MISSION</br>ROOM,Mucha,,,,,
ui_button_play_room,,PLAY</br>ROOM,Os,,,,,
ui_button_garage,,GARAGE,Sajonaara,,,,,
ui_button_attack,,Attack,,,,,,
ui_button_menu_return_to_lab,,Return to Lab,,,,,,
ui_button_menu_return_to_map,,Return to Map,,,,,,
ui_button_menu_settings,,Settings,,,,,,
ui_button_menu_exit_game,,Exit Game,,,,,,
ui_button_mission_start_mission,,Start Mission!,,,,,,
ui_button_go_to_factory,,Go to Factory,,,,,,
ui_button_mission_start_the_action,,Start the</br>Action!,,,,,,
ui_sign_map,,MAP,,,,,,
ui_sign_mine_mission_number,,Mining Mission,,,,,,
ui_sign_mine_fetch_text,,Destroy these objects to</br>gather materials,,,,,,
ui_sign_mine_exit_text,,Move your team to the exit,,,,,,
ui_sign_menu_music,,Music,,,,,,
ui_sign_menu_sfx,,Sound Effects,,,,,,
ui_sign_tutorialbox_tap_here,,Tap Anywhere to Continue,,,,,,
ui_screen_loading,,Loading...,,,,,,
ui_sign_loading_please_wait,,Loading... Please Wait,,,,,,
ui_sign_moves_remaining,,Star Targets,,,,,,
ui_sign_max_capacity_for_rechargeocores_reached,,Max capacity for Re-chargable Battery Storage has been reached,,,,,,
ui_sign_max_capacity_for_redirectors_reached,,Max capacity for Power Connector storage has been reached,,,,,,
ui_sign_max_capacity_reached,,Max Capacity Reached,,,,,,
ui_sign_result_toy_rescued,,Toy rescued - ,,,,,,
ui_sign_mission_failed_all_toys_deanimated,,All toys out of power!,,,,,,
ui_sign_mission_failed_faradaydo_deanimated,,Faradaydo is out of power!,,,,,,
ui_sign_mission_failed_madra_deanimated,,Madra is out of power!,,,,,,
ui_sign_mission_failed_boz_deanimated,,Boz is out of power!,,,,,,
ui_sign_mission_failed_cora_deanimated,,Cora is out of power!,,,,,,
ui_sign_mission_failed_no_materials,,No materials gathered!,,,,,,
ui_sign_mission_failed,,Mission Failed!,,,,,,
ui_sign_mission_success,,Mission Success!,,,,,,
ui_sign_factory_storage_metal,,Metal Storage (Level,,,,,,
ui_sign_factory_storage_plastic,,Plastic Storage (Level,,,,,,
ui_sign_factory_storage_vines,,Vines Storage (Level,,,,,,
ui_sign_factory_storage_rechargeocores,,Battery Storage,,,,,,
ui_sign_factory_storage_redirectors,,Power Connector Storage,,,,,,
ui_name_factory_storage_rechargeocores,,Re-chargeable Battery,,,,,,
ui_name_factory_storage_redirectors,,Power Connector,,,,,,
ui_name_factory_mom,,Make-o-Matic,,,,,,
ui_sign_empty,,Empty,,,,,,
ui_sign_waiting,,Waiting...,,,,,,
ui_sign_upgrade,,Upgrade,,,,,,
ui_sign_upgrade_in_progress,,Upgrade in progress...,,,,,,
ui_sign_info,,Info,,,,,,
ui_sign_level,,Level,,,,,,
ui_sign_objectives,,Objectives,,,,,,
ui_sign_selectboosts,,Select Boosts,,,,,,
ui_sign_targets,,Targets,,,,,,
ui_sign_train_mission,,Train Mission,,,,,,
ui_sign_bonus_mission,,Bonus Mission,,,,,,
ui_sign_mission,,Mission,,,,,,
ui_sign_tip,,Tip,,,,,,
ui_sign_menu,,Menu,,,,,,
ui_button_mining_escape,,Escape,,,,,,
ui_sign_factory_storage_capacity,,Capacity,,,,,,
ui_sign_factory_storage_capacity_add,,Upgrade adds,,,,,,
ui_sign_factory_storage_materials,,Materials,,,,,,
ui_sign_factory_storage_max,,Max.,,,,,,
ui_sign_factory_storage_upgrade_to_level,,Upgrade to Level,,,,,,
ui_sign_factory_storage_upgrade_time,,Upgrade time,,,,,,
ui_sign_factory_storage_not_enough_resources,,Not enough</br>Resources!,,,,,,
ui_sign_factory_storage_not_enough_resources_1line,,Not enough Resources!,,,,,,
ui_sign_factory_storage_already_maximum_level,,Already maximum level!,,,,,,
ui_sign_factory_use_techno_seeds,,Go mining for free or use seeds to get materials now! ,,,,,,
ui_sign_mission_need_resources,,You need the following items for this mission.</br>Build them in the Factory.,,,,,,
ui_sign_mission_all_resources,,You have all the objects required;</br>time to start the mission!,,,,,,
ui_instructions_clear_path,,1 - Clear a path to the toy,,,,,,
ui_instructions_bring_the_toy,,2 - Bring the toy back,,,,,,
ui_instructions_connect_the_power,,3 - Connect the power,,,,,,
ui_instructions_mine_materials,,1 - Mine lots of Materials,,,,,,
ui_instructions_escape,,2 - Escape,,,,,,
ui_instructions_limited_power,,Each toy has limited moves,,,,,,
ui_sign_buypremium_getmore,,Get more Techno Seeds!,,,,,,
ui_sign_buypremium_pile,,Pile of Seeds,,,,,,
ui_sign_buypremium_bag,,Bag of Seeds,,,,,,
ui_sign_buypremium_box,,Box of Seeds,,,,,,
ui_sign_buypremium_toybox,,Toybox of Seeds,,,,,,
ui_sign_buypremium_chest,,Chest of Seeds,,,,,,
ui_sign_buypremium_crate,,Crate of Seeds,,,,,,
ui_sign_worldname_map1,,Lower Mines,,,,,,
ui_sign_worldname_map2,,Upper Mines,,,,,,
ui_sign_worldname_map3,,Block City Factories,,,,,,
ui_sign_mission_danger,,Danger!,,,,,,
ui_sign_mission_danger_info,,This area is too dangerous now.</br>Come back again later!,,,,,,
ui_sign_blockcity_endscreen_info,,The toys have escaped the mines and emerged into Block City. But has the evil Technogrowth spread to the surface of the world too? Find out in the next episode...BLOCK CITY! ,,,,,,
ui_sign_blockcity_endscreen_info_facebook,,Sign up to our newsletter or like our Facebook page to get updates on the latest releases!,,,,,,
ui_sign_blockcity_comming_soon,,Block City - Coming Soon!,,,,,,
ui_sign_premium_cost1,,$0.99,,,,,,
ui_sign_premium_amount1,,10 Gold,,,,,,
ui_sign_premium_cost2,,$4.49,,,,,,
ui_sign_premium_amount2,,50 Gold,,,,,,
ui_sign_premium_cost3,,$8.99,,,,,,
ui_sign_premium_amount3,,100 Gold,,,,,,
ui_sign_premium_cost4,,$17.99,,,,,,
ui_sign_premium_amount4,,200 Gold,,,,,,
ui_sign_premium_cost5,,$44.99,,,,,,
ui_sign_premium_amount5,,500 Gold,,,,,,
ui_sign_premium_cost6,,$89.99,,,,,,
ui_sign_premium_amount6,,1000 Gold,,,,,,
ui_sign_goldshop,,Gold Shop,,,,,,
ui_sign_getmorelives,,Get More Lives,,,,,,
ui_sign_plusonelife,,1 Life,,,,,,
ui_sign_refilllives,,Full Lives,,,,,,
ui_sign_gold,,Gold,,,,,,
ui_sign_morein,,More In,,,,,,
,Rescue Mission Failed Screen,,,,,,,
screen_rescuemission_failed_general,,Remember; each toy has a limited amount of actions!,,,,,,
screen_rescuemission_failed_outofredirectors,,Out of Power Connectors,,,,,,
screen_rescuemission_failed_failedtopowerlazarus,,Faradaydo is out of moves! ,,,,,,
screen_rescuemission_failed_failedtobringrescuetoytomarker,,Cora is out of moves!,,,,,,
,Rescue Levels General,,,,,,,
rescue_tutorial_general_01,,Rescue the Toy,,,,,,
rescue_tutorial_general_02,,Connect the battery to the light,,,,,,
,Train 01,,,,,,,
train_tutorial_help_the_toys,,Help the toys cross the canyon safely!,,,,,,
train_tutorial_tap_cora,,Swipe Cora to use her spin attack against bats!,,,,,,
train_tutorial_swipe_across,,Swipe across a tentacle to make madra attack!,,,,,,
train_tutorial_keep_the_speed,,Keep the speedometer at top speed to make it over the canyon!,,,,,,
,Train 02,,,,,,,
train_tutorial_repeatedly,,Repeatedly tap the rock to clear the rocks from the track!,,,,,,
,Train 03,,,,,,,
train_tutorial_swipe_upward,,Swipe upward from Cora to attack bats above her!,,,,,,
,Lab 1,,,,,,,
laboratory_tutorial_1_text_1_faradaydo,,Welcome to our underground laboratory! Let’s go into the factory.,,,,,,
laboratory_tutorial_1_text_2_general,,Tap on the factory button at the top…,,,,,,
laboratory_tutorial_1_text_3_faradaydo,,Here we make machines; and store the materials we gather during missions...,,,,,,
laboratory_tutorial_1_text_4_faradaydo,,This machine is called the Make-O-Matic. It can make anything! Let's make a new rechargable battery...,,,,,,
laboratory_tutorial_1_text_5_general,,Drag a Re-chargable Battery icon into the machine to build one…,,,,,,
laboratory_tutorial_1_text_6_general,,Tap the button to complete the battery instantly…,,,,,,
laboratory_tutorial_1_text_7_general,,Tap on the Re-chargable Battery to collect it…,,,,,,
